제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,용량,가격,제조사,원재료
독산53,,,,3,53,0,증류주,250ml,25000,농업회사법인오산양조(주),"쌀,국,효모,정제수"
동강더덕주,3,,,2,20,0,기타주류,360ml,3500,영월더덕영농조합법인,"더덕,대추구기자,감초,원지"
동몽,2,3,1,3,17,0,약주/청주,500ml,30000,예술,"홍천쌀,정제수,단호박,국"
동정춘,4,3,2,3,8,0,탁주,500ml,18000,농업회사법인(주)산수,"쌀,누국,정제수"
동정춘막걸리산정호수,5,1,4,4,6,0,탁주,720ml,20000,(주)농업회사법인술빚는전가네,"국내산쌀,누룩,정제수"
동학1957,3,3,2,3,13,0,약주/청주,375ml,3500,고헌정영농조합법인,"쌀,구연산,효모,젖산,정제효소제,국,주정,정제수"
동해동동주,2,1,3,2,6,0,탁주,750ml,1666,동해명주,"쌀,물엿,효모,조제종국,정제효소제,아스파탐,젖산"
두레앙22,,,,4,22,0,증류주,375ml,5000,농업회사법인(주)두레양조,거봉포도원액
두레앙브랜디,3,,,3,35,0,증류주,750ml,70000,농업회사법인(주)두레양조,거봉포도원액
두레앙와인,2,2,1,4,12,0,과실주,750ml,15000,농업회사법인(주)두레양조,거봉포도원액
두레앙증류주,2,,,2,35,0,증류주,750ml,35000,농업회사법인(주)두레양조,거봉포도원액
두리향,,,,4,43,0,증류주,500ml,36000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
두유노,2,3,3,3,6,0,탁주,600ml,6000,디오케이브루어리,"찹쌀,멥살,누룩,밀가루"
라이스퐁당13,3,2,1,3,13,0,약주/청주,500ml,15000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
라이스퐁당17,3,3,1,4,17,0,약주/청주,500ml,18000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
레돔내추럴스파클링로제와인,3,3,4,2,7.5,0,과실주,750ml,38000,농업회사법인작은알자스,포도
레돔시드르,3,3,4,2,6,0,과실주,750ml,32000,농업회사법인작은알자스,사과
려25,1,,,1,25,0,증류주,375ml,30000,(농)국순당여주명주(주),"고구마,쌀"
려고구마증류소주25,1,,,3,25,0,증류주,500ml,35000,(농)국순당여주명주(주),고구마
려고구마증류소주40,2,,,3,40,0,증류주,500ml,35000,(농)국순당여주명주(주),고구마
로얄안동소주18년,3,,,4,45,0,증류주,600ml,72000,농업회사법인유토피아(주),"국내산쌀,입국"
르깔롱,,,,4,16,0,기타주류,500ml,35000,추성고을,"정제수,주정,고과당,죽력,메론후레바,레이지라임,코코넛향,윌튼스카이아이싱칼라"
마셔블랑,3,3,3,2,12,0,증류주,750ml,20000,농업회사법인(주)시트러스,"감귤과즙,백설탕,액상효모,무수아황산"
마주소곡주,4,3,2,4,16,0,약주/청주,500ml,17000,옥순가소곡주마주,"찹쌀,백미,모싯잎,우리밀누룩,정제수,효모"
마주소곡화주,,,,4,41,0,증류주,500ml,25000,옥순가소곡주마주,"찹쌀,백미,모싯잎,우리밀누룩,정제수,홍고추"
막시모40,,,,3,40,0,증류주,500ml,49000,농업회사법인(주)착한농부,"오미자증류원액,오미자원액,정제수"
만강에비친달,2,3,3,3,10,0,탁주,500ml,12000,예술,"홍천쌀,정제수,단호박,곡자"
맑은내일Winery단감명작,3,2,3,2,7,0,과실주,750ml,20000,농업회사법인우포의아침주식회사,"단감,정제수,설탕,효소제,무수구연산,효모,무수아황산,소브산"
맑은내일발효막걸리,3,3,3,4,7,0,탁주,750ml,"2,200",농업회사법인우포의아침(주),"쌀,누룩,효소,아스파탐,정제수"
맑은내일우포,3,2,2,2,12,0,약주/청주,325ml,"5,000",농업회사법인우포의아침(주),"쌀,옥수수전분,효모,누룩,양파,정제수"
맑은문희주,3,1,1,4,13,0,약주/청주,750ml,36000,문경주조,"유기농찹쌀,멥쌀,전통누룩,정제수"
맑은술해밀,3,2,2,2,15,0,약주/청주,500ml,25000,내변산양조장,"쌀,누룩,정제수"
매실막걸리,3,2,1,5,7,0,탁주,750ml,3500,농업회사법인(주)백운주가,"쌀,매실과즙"
매실원주15,3,,,3,15,0,기타주류,300ml,6000,더한주류,"매실주원액,발효주정,정제수,꿀"
매실향기담은술,3,3,3,3,14,0,약주/청주,500ml,6000,농업회사법인명세주가(주),"국내산쌀,효모,조효소재,물엿,아스파탐,정제수"
머루이야기,3,1,1,4,12,0,과실주,375ml,6000,농업회사법인산들벗(주),국내산산머루
머르드서드라이,2,4,3,4,13.5,0,과실주,750ml,35000,산머루농원영농조합법인,국내산산머루
머르드서스위트,4,3,3,4,12,0,과실주,750ml,30000,산머루농원영농조합법인,국내산산머루
메로니아,4,1,5,4,4,0,기타주류,750ml,2000,배혜정도가,"쌀,국,효모,젖산,멜론향,물엿등"
메밀로,,,,4,45,0,증류주,500ml,150000,농업회사법인두루(주),"국내산쌀,메밀,누룩,정제수"
면천두견주,3,1,1,3,18,0,약주/청주,360ml,"30,000",(주)면천두견주,"국내산찹쌀,누룩,진달래꽃"
명가원복분자술,3,1,,3,16,0,과실주,750ml,20000,명가원영농조합법인,"복분자,주정,정제수,구연산,호박산,정제식염,액상과당,효모,설탕"
명술,2,,,3,20,0,기타주류,375ml,30000,대농바이오우리산삼,"산양산삼,정제주,주정"
명인안동소주22,1,,,2,22,0,증류주,360ml,4500,명인안동소주,"쌀,누룩,정제수"
명인안동소주양반탈,1,,,3,45,0,증류주,800ml,35000,명인안동소주,"쌀,누룩,정제수"
명인안동소주호리병,1,,,3,45,0,증류주,800ml,30000,명인안동소주,"쌀,누룩,정제수"
명인홍삼주,1,3,2,4,12.5,0,약주/청주,375ml,4000,농업회사법인(주)금산인삼주,"쌀,홍삼,누룩,정제수등"
명작복분자,3,1,1,5,13,0,과실주,375ml,6500,(농)국순당고창명주(주),"복분자,효모,주정,정제수,과당,구연산"
명품진도홍주,3,,,3,38,0,증류주,375ml,20000,대대로영농조합법인,"쌀,보리,누룩,지초,정제수"
모월로,,,,2,25,0,증류주,500ml,25000,협동조합주담,"쌀,누룩,정제수"
모월연,1,3,1,2,13,0,약주/청주,500ml,18000,협동조합주담,"쌀,누룩,정제수"
모월인,,,,3,41,0,증류주,500ml,40000,협동조합주담,"쌀,누룩,정제수"
모월청,1,3,2,3,16,0,약주/청주,500ml,21000,협동조합주담,"쌀,누룩,정제수"
모을동주소주,,,,4,43,0,증류주,350ml,15000,대작영농조합법인,"쌀,조제종국효모,정제효소,정제수"
모을동주약주,4,3,3,4,13,0,약주/청주,375ml,13000,대작영농조합법인,"쌀,조제종국효모,정제효소,정제수"
무주구천동머루와인,2,2,1,3,12,0,과실주,750ml,25000,덕유양조,국내산산머루
무주구천동산머루주,2,2,1,3,16,0,과실주,750ml,15000,덕유양조,국내산산머루
문경바람백자25,,,,3,25,0,증류주,375ml,16000,농업회사법인(주)제이엘,사과
문경바람백자40,,,,4,40,0,증류주,375ml,"24,000",농업회사법인(주)제이엘,사과
문경바람오크,,,,4,40,0,증류주,375ml,28000,농업회사법인(주)제이엘,사과
문경주조오미자생막걸리,2,3,2,4,6.5,1,탁주,750ml,2500,문경주조,"정제수,백미,입국,올리고당,물엿,허브,오미자,정제효소,아스파탐·아세셀펌칼륨"
문배술헤리티지23,1,,,1,23,0,증류주,375ml,5555,문배주양조원,"메조,찰수수,쌀"
문배술헤리티지25,1,,,1,25,0,증류주,375ml,6111,문배주양조원,"메조,찰수수,쌀"
문배술헤리티지40,2,,,3,40,0,증류주,200ml,12000,문배주양조원,"메조,찰수수,쌀"
문희문경오미자수제전통주,3,1,3,3,12,0,탁주,500ml,15000,문경주조(전통술체험관),"햇찹쌀,전통누룩,오미자"
문희햇찹쌀수제전통주,3,1,2,3,13,0,탁주,500ml,15000,문경주조,"유기농찹쌀,멥쌀,전통누룩,정제수"
미르25,2,0,1,3,25,0,증류주,375ml,18000,술샘,"쌀,누룩,정제수"
미르40,1,0,0,2,40,0,증류주,375ml,23000,술샘,"쌀,누룩,정제수"
미생막걸리,2,3,3,3,6,0,탁주,750ml,1100,김포금쌀탁주영농조합법인,"국내산쌀,누룩,효모,정제효소,정제수"
미소생막걸리,3,3,3,2,7,0,탁주,750ml,1500,울진술도가,"쌀,누룩,정제수"
미소아이스,4,1,,3,12,0,과실주,375ml,40000,도란원,"포도,산화방지제,효모등"
미인약주,4,1,1,2,15,0,약주/청주,500ml,25000,최행숙전통주가,"찹쌀,누룩,정제수"
미인탁주,3,1,1,3,10,0,탁주,500ml,15000,최행숙전통주가,"찹쌀,누룩,정제수"
민속주안동소주,1,,,4,45,0,증류주,400ml,28000,민속주안동소주,"쌀,누룩,정제수"
바랑탁,4,2,1,4,15,0,탁주,375ml,18000,농업회사법인(주)금계당,"찹쌀,맵쌀,누룩,소맥분,정제수"
밤꽃향기,5,2,2,2,13.5,0,약주/청주,375ml,4000,농업회사법인사곡양조원,"국내산쌀,밤,누룩,정제수"
방문주약주,2,3,3,3,15,0,약주/청주,500ml,7000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
방문주탁주,2,3,3,4,15,0,탁주,500ml,6000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
배꽃담은연생막걸리,3,3,4,2,10,0,탁주,720ml,20000,(주)농업회사법인술빚는전가네,"국내산쌀,누룩,효모,젖산,연잎,정제수"
배도가로아19레드,2,,,2,19,0,증류주,350ml,10000,주식회사배혜정농업회사법인,사과
배도가로아40옐로우,2,,,3,40,0,증류주,350ml,20000,배혜정도가,"쌀,배"
백년향,3,3,2,3,10,0,탁주,500ml,11000,(주)농업회사법인추연당,"국내산쌀,누룩,정제수"
백련맑은술,2,2,1,4,12,0,약주/청주,375ml,7000,신평양조장,"백미,정제수,물엿,과당,누룩,백련잎,누룩등"
백련생막걸리Misty,2,3,4,4,7,0,탁주,750ml,3000,신평양조장,"백미,정제수,물엿,과당,누룩,백련잎,누룩등"
백련생막걸리Snow,2,2,2,4,6,0,탁주,750ml,1600,신평양조장,"백미,연잎,정제수,종국,효모,아스파탐,물엿등"
백운복분자와인,2,2,1,5,11,0,기타주류,360ml,7000,농업회사법인(주)백운주가,"쌀,토종복분자과즙"
백운복분자주,3,2,2,4,13,0,기타주류,360ml,7000,농업회사법인(주)백운주가,"쌀,토종복분자과즙"
백이주,2,2,1,3,35,0,과실주,800ml,30000,농업회사법인(주)세찬제조사,"쌀,홍마늘액,감초,개량누룩,효모,정제효소제,정제수,밀함유"
백자주,3,3,2,3,10,0,탁주,500ml,18000,농업회사법인(주)산수,"국내산찹쌀,멥쌀,잣,누룩,정제수"
뱅꼬레레드와인,3,4,2,2,12,0,과실주,375ml,25000,(주)한국와인,양조용포도
뱅꼬레로제와인,4,3,3,2,11.5,0,과실주,375ml,23000,(주)한국와인,양조용포도
